Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
53307,Crash Team Racing Nitro-Fueled,crash-team-racing-nitro-fueled,Racing,RP,XOne,Activision,Beenox,,,,,,,,,,2019,05th Apr 19,http://www.vgchartz.com/game/223130/crash-team-racing-nitro-fueled/?region=All,1,,/games/boxart/full_3527450AmericaFrontccc.jpg
53318,CrossCode,crosscode,Role-Playing,T,XOne,Unknown,Radical Fish Games,,,,,,,,,,,08th Apr 19,http://www.vgchartz.com/game/224654/crosscode/?region=All,1,,/games/boxart/full_872735AmericaFrontccc.jpg
53327,Crypt of the NecroDancer,crypt-of-the-necrodancer,Music,T,XOne,Brace Yourself Games,Brace Yourself Games,,,,,,,,,,2017,06th Aug 18,http://www.vgchartz.com/game/222504/crypt-of-the-necrodancer/?region=All,1,,/games/boxart/full_2590625AmericaFrontccc.jpg
53337,Cyberpunk 2077,cyberpunk-2077,Action-Adventure,,XOne,CD Projekt Red Studio,CD Projekt Red Studio,,,,,,,,,,2019,11th Jun 18,http://www.vgchartz.com/game/222143/cyberpunk-2077/?region=All,1,,/games/boxart/full_4892670AmericaFrontccc.jpg
53346,Dance Central Spotlight,dance-central-spotlight,Music,,XOne,Microsoft Studios,Harmonix Music Systems,,,,,,,,,,2014,16th Nov 18,http://www.vgchartz.com/game/223065/dance-central-spotlight/?region=All,1,,/games/boxart/full_8231223AmericaFrontccc.jpeg
53350,Dandara,dandara,Action,,XOne,Unknown,Long Hat House,,,,,,,,,,,22nd Mar 19,http://www.vgchartz.com/game/223998/dandara/?region=All,1,,/games/boxart/default.jpg
53353,Dangerous Driving,dangerous-driving,Racing,,XOne,Unknown,Three Fields Entertainment,,,,,,,,,,,10th Apr 19,http://www.vgchartz.com/game/224667/dangerous-driving/?region=All,1,,/games/boxart/default.jpg
53360,Darkest Dungeon,darkest-dungeon,Role-Playing,T,XOne,Red Hook Studios,Red Hook Studios,,,,,,,,,,2018,31st Jan 18,http://www.vgchartz.com/game/220994/darkest-dungeon/?region=All,1,,/games/boxart/full_3101870AmericaFrontccc.jpg
53369,Dauntless,dauntless,Role-Playing,,XOne,Phoenix Labs,Phoenix Labs,,,,,,,,,,2019,06th Dec 18,http://www.vgchartz.com/game/223139/dauntless/?region=All,1,,/games/boxart/full_2744429AmericaFrontccc.png
53372,de Blob,de-blob,Platform,E,XOne,THQ Nordic,Blue Tongue,,,,,,,,,,2017,13th Feb 18,http://www.vgchartz.com/game/213653/de-blob/?region=All,1,,/games/boxart/default.jpg
53379,Dead Cells,dead-cells,Action,T,XOne,Merge Games,Motion Twin,,,,,,,,,,2018,06th Aug 18,http://www.vgchartz.com/game/222501/dead-cells/?region=All,1,,/games/boxart/full_6680907AmericaFrontccc.jpg
53383,Dead or Alive 6,dead-or-alive-6,Fighting,M,XOne,Koei Tecmo,Team Ninja,,,,,,,,,,2019,21st Mar 19,http://www.vgchartz.com/game/222177/dead-or-alive-6/?region=All,1,,/games/boxart/full_6230549AmericaFrontccc.jpg
53391,Dead or School,dead-or-school,Action,,XOne,Unknown,Nanafushi,,,,,,,,,,2019,15th Jul 18,http://www.vgchartz.com/game/222354/dead-or-school/?region=All,1,,/games/boxart/default.jpg
53397,Deadlight: Director's Cut,deadlight-directors-cut,Action-Adventure,M,XOne,Deep Silver,Tequila Works|Abstraction Games,,,,,,,,,,2016,24th Mar 19,http://www.vgchartz.com/game/224057/deadlight-directors-cut/?region=All,1,,/games/boxart/full_9528568PALFrontccc.jpg
53399,Death Mark,death-mark,Misc,M,XOne,Unknown,Experience Inc.,,,,,,,,,,,17th Mar 19,http://www.vgchartz.com/game/222650/death-mark/?region=All,1,,/games/boxart/default.jpg
