Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,Year,New Average Prices
4086,NHL 18,Sports,,PS4,EA Sports,EA Canada,,0.57,2017.0,9.379999999999999
4092,Everybody's Golf,Sports,E,PS4,Sony Interactive Entertainment,Clap Hanz,8.1,0.56,2017.0,11.71
4149,Just Cause 4,Action-Adventure,M,PS4,Square Enix,Avalanche Studios,,0.56,2018.0,15.99
4163,Sonic Forces,Platform,E10,PS4,Sega,Sonic Team,,0.56,2017.0,25.685
4173,Lords of the Fallen,Role-Playing,M,PS4,Namco Bandai Games,DECK13 Interactive,,0.55,2014.0,18.31
4196,Sniper Elite 4,Shooter,M,PS4,Rebellion Developments,Rebellion Developments,,0.55,2017.0,28.439999999999998
4227,Rory McIlroy PGA Tour,Sports,E,PS4,Electronic Arts,EA Tiburon,,0.55,2015.0,78.985
4320,LEGO The Incredibles,Action,E10,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.53,2018.0,23.99
4371,F1 2018,Racing,E,PS4,Codemasters,Codemasters Birmingham,,0.53,2018.0,32.845
4407,NHL 17,Sports,,PS4,EA Sports,EA Canada,,0.52,2016.0,10.96
4451,One Piece: Pirate Warriors 3,Action,T,PS4,Tecmo Koei,Omega Force,,0.52,2015.0,31.0
4463,Hitman 2,Action-Adventure,M,PS4,Warner Bros. Interactive Entertainment,IO Interactive,,0.51,2018.0,27.055
4544,Attack on Titan,Action,M,PS4,Tecmo Koei,Omega Force,,0.5,2017.0,88.445
4597,Pro Evolution Soccer 2019,Sports,E,PS4,Konami,Konami,,0.5,2018.0,22.96
4700,Farpoint,Shooter,M,PS4,Sony Interactive Entertainment,Impulse Gear,,0.48,2017.0,13.75
4714,Battleborn,Shooter,,PS4,2K Games,Gearbox Software,,0.48,2016.0,8.415
4723,A Way Out,Action,M,PS4,Electronic Arts,Hazelight,7.5,0.48,2018.0,63.675
4757,Wolfenstein: The Old Blood,Shooter,M,PS4,Bethesda Softworks,MachineGames,,0.48,2015.0,22.67
4779,Jurassic World Evolution,Simulation,,PS4,Frontier Developments,Frontier Developments,,0.47,2018.0,42.055
4817,Deadpool,Action,M,PS4,Activision,High Moon Studios,,0.47,2015.0,69.5
4826,TrackMania Turbo,Racing,E,PS4,Ubisoft,Nadeo,,0.47,2016.0,29.4
4837,Just Dance 2014,Music,E10,PS4,Ubisoft,Ubisoft Paris,7.5,0.47,2013.0,23.58
4848,Farming Simulator 19,Simulation,E,PS4,Focus Home Interactive,Giants Software,,0.47,2018.0,33.155
4866,Dissidia Final Fantasy NT,Fighting,T,PS4,Square Enix,Square Enix,,0.46,2018.0,10.99
4988,Yakuza Kiwami,Adventure,M,PS4,Sega,Sega,,0.45,2017.0,22.81
5016,Tales of Zestiria,Role-Playing,,PS4,Namco Bandai Games,Namco Bandai Games,,0.45,2015.0,21.0
5074,Sleeping Dogs: Definitive Edition,Action,M,PS4,Square Enix,United Front Games,,0.44,2014.0,29.784999999999997
5165,Trials Fusion,Misc,,PS4,Ubisoft,Unknown,,0.43,2014.0,23.1
5212,NHL 19,Sports,,PS4,EA Sports,EA Canada,,0.43,2018.0,10.0
5307,Mirror's Edge Catalyst,Platform,T,PS4,Electronic Arts,EA DICE,,0.42,2016.0,14.88
5434,Just Dance 2015,Music,E10,PS4,Ubisoft,Ubisoft Paris,,0.41,2014.0,19.235
5440,Sword Art Online: Hollow Realization,Role-Playing,T,PS4,Namco Bandai Games,Aquria,,0.41,2016.0,19.77
5596,Just Dance 2016,Music,E10,PS4,Ubisoft,Ubisoft Paris,,0.39,2015.0,20.16
5619,Batman: Arkham VR,Action,,PS4,Warner Bros. Interactive Entertainment,Rocksteady Studios,,0.39,2016.0,14.97
5664,Tropico 5,Simulation,T,PS4,Kalypso Media,Haemimont Games,,0.38,2015.0,19.89
5825,Burnout Paradise Remastered,Racing,E10,PS4,Electronic Arts,Stellar Entertainment,8.0,0.37,2018.0,22.78
5829,Dynasty Warriors 9,Action,T,PS4,Tecmo Koei,Omega Force,,0.37,2018.0,30.015
5845,Vampyr,Role-Playing,M,PS4,Focus Home Interactive,DONTNOD Entertainment,,0.37,2018.0,27.825
5904,Okami HD,Action,T,PS4,Capcom,Clover Studio,,0.36,2017.0,27.84
6002,Sword Art Online: Lost Song,Role-Playing,,PS4,Namco Bandai Games,Namco Bandai Games,,0.36,2015.0,14.43
6006,Hello Neighbor,Action,E10,PS4,Gearbox Software,Dynamic Pixels,,0.35,2018.0,23.06
6024,Disgaea 5: Alliance of Vengeance,Role-Playing,,PS4,NIS America,Nippon Ichi Software,,0.35,2015.0,20.09
6053,Dead or Alive 5 Last Round,Fighting,M,PS4,Tecmo Koei,Team Ninja,7.1,0.35,2015.0,32.68
6060,Sega Genesis Classics,Misc,T,PS4,Sega,Sega,,0.35,2018.0,34.915
6077,Gravity Rush 2,Action-Adventure,T,PS4,Sony Interactive Entertainment,SIE Japan Studio,,0.35,2017.0,26.89
6236,Dishonored: Death of the Outsider,Action,M,PS4,Bethesda Softworks,Arkane Studios,,0.33,2017.0,18.795
6240,Valkyria Chronicles Remastered,Role-Playing,T,PS4,Sega,Sega,,0.33,2016.0,28.91
6310,Murdered: Soul Suspect,Action-Adventure,M,PS4,Square Enix,Airtight Games,,0.33,2014.0,19.990000000000002
6315,PlayerUnknown's Battlegrounds,Shooter,T,PS4,Sony Interactive Entertainment,PUBG Corporation,,0.33,2018.0,15.46
6621,Sonic Mania,Platform,E,PS4,Sega,PagodaWest Games,,0.31,2017.0,15.0
6631,XCOM 2,Strategy,T,PS4,2K Games,Firaxis Games,,0.31,2016.0,14.32
6716,My Hero One's Justice,Fighting,T,PS4,Bandai Namco Entertainment,Byking,,0.3,2018.0,31.54
6763,Just Dance 2018,Music,E10,PS4,Ubisoft,Ubisoft Paris,,0.3,2017.0,22.96
6809,The Walking Dead: Season Two,Misc,,PS4,Telltale Games,Unknown,,0.3,2014.0,16.32
6812,Sword Art Online: Fatal Bullet,Role-Playing,T,PS4,Namco Bandai Games,Dimps Corporation,,0.29,2018.0,30.615000000000002
6822,Naruto to Boruto: Shinobi Striker,Action,T,PS4,Bandai Namco Games,Soleil Software Studio Inc.,8.5,0.29,2018.0,27.505
6834,Yooka-Laylee,Platform,E10,PS4,Team17 Software,Playtonic Games,,0.29,2018.0,25.799999999999997
6973,Sherlock Holmes: Crimes & Punishments,Adventure,M,PS4,Focus Home Interactive,Frogwares,,0.29,2014.0,38.295
7012,Star Trek Bridge Crew,Action,E10,PS4,Ubisoft,Red Storm Entertainment,,0.28,2017.0,20.99
7134,Secret of Mana,Role-Playing,E10,PS4,Square Enix,Square,,0.28,2018.0,24.47
7151,Gundam Versus,Action,T,PS4,Namco Bandai Games,Namco Bandai Games,7.3,0.28,2017.0,20.32
7193,NBA Live 14,Sports,E,PS4,EA Sports,EA Tiburon,,0.27,2013.0,11.38
7283,Killing Floor 2,Shooter,M,PS4,Tripwire Interactive,Tripwire Interactive,,0.27,2016.0,37.295
7288,Shenmue I & II,Action-Adventure,T,PS4,Sega,Sega,,0.27,2018.0,34.86
7343,Fate/Extella: The Umbral Star,Action,T,PS4,Xseed Games,Marvelous Entertainment,,0.27,2017.0,35.1
7602,Tetris Effect,Puzzle,E,PS4,Sony Interactive Entertainment,Monstars Inc.,,0.25,2018.0,27.01
7684,Danganronpa V3: Killing Harmony,Adventure,M,PS4,NIS America,Spike Chunsoft,,0.25,2017.0,85.0
7712,Samurai Warriors 4,Fighting,T,PS4,Tecmo Koei,Omega Force,,0.25,2014.0,38.92
7726,Darksiders III,Action,M,PS4,THQ Nordic,Gunfire Games,,0.25,2018.0,15.765
7728,NBA Live 15,Sports,E,PS4,Electronic Arts,EA Tiburon,,0.25,2014.0,12.575
7785,Valkyria Chronicles 4,Role-Playing,T,PS4,Sega,Sega,,0.25,2018.0,32.405
7790,NBA Live 18,Sports,E,PS4,EA Sports,EA Sports,,0.24,2017.0,10.84
7807,Tearaway Unfolded,Platform,E,PS4,Sony Computer Entertainment,Media Molecule,,0.24,2015.0,13.41
7849,Ride,Racing,E,PS4,Milestone S.r.l.,Milestone S.r.l.,,0.24,2015.0,32.955
7863,Just Dance 2017,Misc,E10,PS4,Ubisoft,Ubisoft Paris,,0.24,2016.0,17.68
7874,The Escapists 2,Action,T,PS4,Sold Out,Team17 Software,,0.24,2017.0,25.985
7899,Transformers: Devastation,Action,T,PS4,Activision,PlatinumGames,,0.24,2015.0,43.87
7911,Earth Defense Force 5,Shooter,,PS4,D3 Publisher,Sandlot,,0.24,2018.0,32.05
7927,Darksiders II: Deathinitive Edition,Action-Adventure,M,PS4,Nordic Games,Gunfire Games,7.5,0.24,2015.0,28.560000000000002
7939,Street Fighter 30th Anniversary Collection,Fighting,T,PS4,Capcom,Capcom,,0.24,2018.0,28.575
7961,Digimon World: Next Order,Role-Playing,E10,PS4,Namco Bandai Games,Bandai Namco Games,,0.24,2017.0,22.24
8069,Elex,Role-Playing,M,PS4,THQ Nordic,Piranha Bytes,,0.23,2017.0,17.005000000000003
8206,Metal Gear Survive,Action,M,PS4,Konami Digital Entertainment,Konami Digital Entertainment,,0.23,2018.0,13.405
8221,SingStar Celebration,Music,T,PS4,Sony Interactive Entertainment,SIE London Studio,,0.23,2017.0,13.27
8264,Dead by Daylight,Action,M,PS4,505 Games,Behaviour Interactive Inc.,,0.22,2017.0,33.055
8268,Attack on Titan 2,Action,M,PS4,Koei Tecmo,Omega Force,7.8,0.22,2018.0,157.5
