Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
28176,Dengeki Bunko: Fighting Climax Ignition,dengeki-bunko-fighting-climax-ignition,Action,,PS4,Sega,Ecole Software,,,,,,,,,,2015,21st Sep 18,http://www.vgchartz.com/game/86347/dengeki-bunko-fighting-climax-ignition/?region=All,1,,/games/boxart/full_1041143JapanFrontccc.jpg
28647,Divekick,divekick,Misc,,PS4,Namco Networks America Inc.,Unknown,,,,,,,,,,2013,,http://www.vgchartz.com/game/75579/divekick/?region=All,1,,/games/boxart/default.jpg
28736,Doki-Doki Universe,doki-doki-universe,Misc,,PS4,Sony Computer Entertainment,HumaNature Studios,,,,,,,,,,2013,14th Sep 18,http://www.vgchartz.com/game/72153/doki-doki-universe/?region=All,1,,/games/boxart/full_1458969AmericaFrontccc.jpg
28758,Don Bradman Cricket 17,don-bradman-cricket-17,Sports,,PS4,Tru Blu Entertainment,Big Ant Studios,,,,,,,,,,2016,,http://www.vgchartz.com/game/151238/don-bradman-cricket-17/?region=All,1,,/games/boxart/full_7895407JapanFrontccc.jpg
29249,Drawn to Death,drawn-to-death,Shooter,,PS4,Sony Interactive Entertainment,The Bartlet Jones Supernatural Detective Agency,,,,,,,,,,2017,17th Sep 18,http://www.vgchartz.com/game/84934/drawn-to-death/?region=All,1,,/games/boxart/full_5168845AmericaFrontccc.jpg
29287,Drifter: A Space Trading Game,drifter-a-space-trading-game,Simulation,,PS4,Celsius Game Studios,Celsius Game Studios,,,,,,,,,,2019,,http://www.vgchartz.com/game/84004/drifter-a-space-trading-game/?region=All,1,,/games/boxart/full_222120AmericaFrontccc.jpg
29433,Dungeon Defenders II,dungeon-defenders-ii,Action,E10,PS4,Trendy Entertainment,Trendy Entertainment,,,,,,,,,,2017,21st Sep 18,http://www.vgchartz.com/game/84926/dungeon-defenders-ii/?region=All,1,,/games/boxart/full_4230855AmericaFrontccc.jpg
29507,Dust: An Elysian Tail,dust-an-elysian-tail,Platform,E10,PS4,Humble Hearts,Humble Hearts,,,,,,,,,,2014,07th Aug 18,http://www.vgchartz.com/game/84351/dust-an-elysian-tail/?region=All,1,,/games/boxart/full_6929772AmericaFrontccc.jpg
29572,EA Sports PGA Tour,ea-sports-pga-tour,Sports,,PS4,EA Sports,EA Tiburon,,,,,,,,,,2015,,http://www.vgchartz.com/game/82899/ea-sports-pga-tour/?region=All,1,,/games/boxart/default.jpg
29599,EarthNight,earthnight,Action,,PS4,cleaversoft,cleaversoft,,,,,,,,,,2015,,http://www.vgchartz.com/game/83159/earthnight/?region=All,1,,/games/boxart/full_6376233AmericaFrontccc.jpg
